species,first.int,last.int,body_size,hypsodonty
Parahippus_leonensis,2,2,75,1.08
Merychippus_gunteri,3,6,75,1.59
Merychippus_primus,3,3,72,1.88
Acritohippus_stylodontus,5,5,196,1.68
Acritohippus_tertius,3,3,120,1.61
Acritohippus_isonesus,5,5,91,1.86
Acritohippus_quinni,3,6,137,1.72
Parapliohippus_carrizoensis,3,5,71,2
Pliohippus_mirabilis,6,6,112,2.5
Pliohippus_fossulatus,8,8,199,2.64
Pliohippus_tantalus,7,7,170,2.6
Pliohippus_nobilis,12,13,118,3
Pliohippus_pernix,8,10,176,3.5
Heteropliohippus_hulberti,7,7,263,2.2
Pliohippus_tehonensis,8,9,123,2.02
Astrohippus_ansae,15,15,190,3.83
Astrohippus_stockii,15,15,127,3.7
Dinohippus_leardi,7,7,506,2.61
Dinohippus_galushai,14,15,171,4.02
Hippidion_saldiasi,23,23,265.6,2.6
Hippidion_principale,22,23,460,2.66
Hippidion_devillei,21,23,255.69,2.44
Dinohippus_interpolatus,14,15,262,2.75
Dinohippus_leidyanus,13,15,150,2.31
Dinohippus_mexicanus,14,14,316,2.77
Equus_simplicidens,17,17,400,3.6
Equus_scotti,18,18,500,4.2
Equus_francisci,19,19,350,3.85
Equus_alaskae,18,19,372,3.6
Equus_mexicanus,19,19,400,3.5
Equus_insulatus,22,24,350,4.06
Equus_santaeelenae,24,24,350,3.86
Equus_neogeus,24,24,379,4
Equus_andium,24,24,220,4.31
Equus_yunnanensis,36,36,300,3.6
Equus_wangi,40,40,425,3.4
Equus_huanghoensis,40,40,340,3.7
Equus_qingyangensis,41,41,358,3.6
Equus_teilhardi,41,41,280,3.61
Equus_sanmeniensis,40,40,427,3.43
Equus_major,34,40,959,3.43
Equus_suessenbornensis,42,42,565,3.76
Equus_taubachensis,43,43,580,3.41
Equus_gallicus,44,44,408,3.7
Equus_ferus,45,45,350,3.8
Equus_mosbachensis,46,46,682,3.35
Equus_przewalskii,45,45,350,3.67
Equus_dalianensis,43,43,550,3.6
Equus_beijingensis,47,47,600,3.35
Equus_livenzovensis,34,34,550,3.7
Equus_stenonis,36,36,420,3.64
Equus_senezensis,36,36,331,3.57
Equus_altidens,42,42,300,3.31
Equus_hydruntinus,51,51,215,3.54
Equus_tabeti,48,48,273,3.44
Equus_melkiensis,49,49,275,3.4
Equus_koobiforensis,38,38,425,3.73
Equus_kiang,45,45,300,4.88
Equus_oldowayensis,38,38,332,3.52
Equus_grevyi,45,45,371,5.19
Equus_numidicus,38,38,474,3.72
Equus_africanus,45,45,220,5.25
Equus_hemionus,45,45,260,4.76
Equus_zebra,45,45,280,5.01
Equus_mauritanicus,50,50,366,3.72
Equus_quagga,45,45,250,4.44
Merychippus_sejunctus,5,5,86,2.42
Merychippus_intermontanus,5,6,100,1.58
Protohippus_vetus,5,8,94,1.6
Protohippus_perditus,6,6,130,2.34
Protohippus_supremus,6,7,158,2.35
Protohippus_gidleyi,27,30,109,2.76
Calippus_proplacidus,6,6,61,2.45
Calippus_placidus,7,7,65,3.9
Calippus_elachistus,10,13,46,3.07
Calippus_regulus,6,8,50,3.27
Calippus_circulus,6,6,38,2.2
Calippus_martini,8,9,120,2.76
Calippus_cerasinus,10,10,81,2.82
Calippus_hondurensis,12,13,68,3.25
Calippus_maccartyi,13,13,73,3.62
Merychippus_coloradensis,5,8,136,2.53
Merychippus_republicanus,5,5,107,2
Neohipparion_affine,6,10,139,2.73
Neohipparion_trampasense,10,12,106,3.9
Neohipparion_leptode,12,15,150,2.47
Neohipparion_gidleyi,12,15,204,3.07
Neohipparion_eurystyle,12,15,210,4.5
Pseudhipparion_retrusum,6,6,85,3.14
Pseudhipparion_curtivallum,8,9,47,3.82
Pseudhipparion_hessei,9,9,67,3.82
Pseudhipparion_gratum,9,9,79,4.06
Pseudhipparion_skinneri,10,12,55,4.16
Pseudhipparion_simpsoni,15,15,46,10.49
Hipparion_shirleyi,6,6,78,1.83
Hipparion_tehonense,7,7,130,2.39
Hipparion_forcei,8,12,100,2.39
Merychippus_insignis,5,5,100,2.1
Merychippus_californicus,6,6,86,2.03
Merychippus_brevidontus,4,4,91,2.11
Merychippus_goorisi,5,5,100,2.02
Nannippus_morgani,12,13,50,5
Nannippus_westoni,10,12,70,3.57
Nannippus_lenticularis,12,15,98,4.3
Nannippus_aztecus,10,15,54,4.6
Nannippus_peninsulatus,16,16,75,6
Nannippus_beckensis,17,17,65,3.54
Cormohipparion_sphenodus,5,6,127,2.27
Cormohipparion_plicatile,10,12,168,3.6
Cormohipparion_ingenuum,8,12,112,3.4
Cormohipparion_emsliei,13,16,89,3.6
Cormohipparion_quinni,6,6,128,2.25
Cormohipparion_occidentale,9,12,151,3.5
Hippotherium_primigenium,25,28,293,2.5
Hippotherium_laromae,27,29,340,2.6
Hipparion_coelophyes,27,31,200,2.6
Hipparion_hippidiodus,30,30,177,2.8
Hipparion_platyodus,31,31,179,2.6
Eurygnathohippus_cornelianus,38,38,500,3.26
Plesiohipparion_rocinantis,34,34,391,3.2
Plesiohipparion_turkanense,31,33,500,2.4
Hipparion_antelopinum,30,30,190,2.92
Plesiohipparion_houfenense,34,34,437,3.24
Proboscidipparion_pater,33,33,398,2.81
Proboscidipparion_sinense,34,36,465,3.5
Eurygnathohippus_afarense,34,34,600,3.26
Eurygnathohippus_libycum,34,37,500,3.53
Hipparion_prostylum,29,30,175,2.6
Cremohipparion_proboscidium,28,28,249,2.34
Cremohipparion_mediterraneum,29,30,190,2.45
Cremohipparion_licenti,33,33,105,2.86
Cremohipparion_forstenae,27,30,200,2.6
Cremohipparion_mathewi,31,31,140,2.8
Cremohipparion_periafricanum,31,31,40,3.3
Hipparion_fissurae,33,33,185,3.15
Hipparion_longipes,33,33,300,2.83
Hipparion_concudense,27,30,180,2.6
Hipparion_crassum,39,39,320,2.82